o_id,POPULATION,EV1_me,EV1_me_A
O_0,164.24537754,0.0,access
O_1,629.30298138,0.0,no access
O_2,765.09515381,0.0,no access
O_3,962.08899689,0.0,no access
O_4,1978.12904358,0.0,no access
O_5,1989.89715958,0.4431862407042615,no access
O_6,148.84843063,14.712393961097774,access
O_7,458.98658562,0.0,access
O_8,702.11696434,0.0,no access
O_9,1107.59231901,0.0,no access
O_10,2067.08494186,0.0,no access
O_11,2350.57516479,0.0,access
O_12,1957.35123062,0.0,no access
O_13,1658.0099678,0.0,no access
O_14,1526.03598785,0.0,no access
O_15,413.75548363,5.67397727942096,access
O_16,842.31756306,0.0,access
O_17,1478.08180046,0.0,access
O_18,1032.71585512,0.0,no access
O_19,2325.24543381,0.0,access
O_20,2311.43289948,0.0,access
O_21,1875.50010681,0.0,no access
O_22,1746.39505005,0.40327634070614626,no access
O_23,1316.22281265,0.0,no access
O_24,1386.32469177,0.0,no access
O_25,1007.20760155,0.3176544663199582,no access
O_26,719.93495941,0.0,no access
O_27,1048.91928482,0.0,no access
O_28,1922.93091011,0.0,access
O_29,1691.79252434,0.0,access
O_30,2140.27134323,0.0,access
O_31,1439.87953758,0.0,access
O_32,1558.94218254,0.0,access
O_33,1983.5795536,0.0,access
O_34,1711.49200726,0.0,access
O_35,1829.85559845,0.8611925874169913,no access
O_36,1010.33774948,0.2769143576744459,no access
O_37,986.99393272,0.3212953834495818,no access
O_38,1040.31194687,0.11402869547055516,no access
O_39,1072.58284569,0.19815390957136683,access
O_40,1536.36138153,0.0,access
O_41,1013.78449821,0.0,access
O_42,1122.11662483,0.3807004020438225,access
O_43,1202.6553421,0.0,access
O_44,1892.20948792,0.2781263139740641,access
O_45,2461.33372116,0.16867793840892015,access
O_46,2258.97821045,0.0,access
O_47,1429.69944763,0.0,no access
O_48,1715.69475746,0.0,access
O_49,1287.1529026,0.6284441518161181,no access
O_50,1570.91852188,0.0,access
O_51,1410.83597374,0.67998298543849,no access
O_52,1202.8738327,0.0,no access
O_53,1396.63955688,0.34406807683256424,no access
O_54,1474.05879116,0.0,access
O_55,1531.52594566,0.0,access
O_56,1509.23569012,0.0,access
O_57,208.30379677,0.3214257915443372,access
O_58,1890.00128651,0.0,no access
O_59,2294.25948334,0.06148052215576172,no access
O_60,2432.18058395,6.236673175501932,no access
O_61,2381.748909,0.22219407470151092,no access
O_62,2003.88581848,0.0,access
O_63,1803.47858047,0.23463125019839234,no access
O_64,1678.15233612,0.0,access
O_65,1729.80155945,0.0,access
O_66,1821.23622513,0.0,access
O_67,1537.49044418,0.458171855806787,no access
O_68,1464.71004105,0.06215381622314453,no access
O_69,1190.52589035,0.0,no access
O_70,1239.84428596,0.0,access
O_71,199.80621338,0.7454881338244734,no access
O_72,1494.48296547,0.0,access
O_73,1638.06154919,0.0,access
O_74,1176.72171593,0.2695928727847323,no access
O_75,1693.35393715,0.6301450862361389,no access
O_76,2374.67459869,0.46184028638136065,no access
O_77,2291.48970795,0.3273678183130268,no access
O_78,1784.06399155,0.33786144437766275,no access
O_79,1729.53916359,0.5551307868050197,no access
O_80,1900.96727371,0.19602187611624383,no access
O_81,1888.91226196,0.20126608578627142,access
O_82,1834.88119125,0.5035602160752051,no access
O_83,1846.9139595,0.0,access
O_84,1729.61700249,0.0,no access
O_85,1363.85136414,0.0,access
O_86,828.86365795,0.0,access
O_87,40.46790886,4.69225897307446,access
O_88,32.91176224,4.163562897584047,no access
O_89,949.35508919,0.0,access
O_90,939.79366302,0.0,access
O_91,1189.68343163,0.0,access
O_92,757.88712883,0.0,access
O_93,1504.05272293,0.0,access
O_94,1154.41796875,0.6649701158919078,access
O_95,1004.20554256,0.0,no access
O_96,1354.41082764,1.5985379120446632,no access
O_97,1161.16336632,0.5919533652350772,no access
O_98,1178.00179291,0.3436756175127935,no access
O_99,1942.03381729,0.0,access
O_100,1604.44867325,0.0,access
O_101,1239.31250381,0.0,access
O_102,542.7651577,1.2289697951558396,access
O_103,83.02479362,1.642458595975709,access
O_104,408.91734695,1.0617840802596734,access
O_105,889.95633221,0.0,access
O_106,782.92469025,0.0,access
O_107,1259.18093109,0.0,access
O_108,953.19294739,0.0,access
O_109,428.39468002,0.0,access
