region;weight
SUNGAI JAWI;0.441758257
PARIT TOKAYA;0.153340981
BATU LAYANG;1.160449143
SUNGAI BANGKONG;0.423991044
BENUA MELAYU DARAT;0.992460846
SIANTAN HULU;1.469602714
BANSIR LAUT;0.032957022
SIANTAN TENGAH;3.483517402
SUNGAI JAWI DALAM;1.272954571
AKCAYA;0.380242685
KOTA BARU;0.536064278
SIANTAN HILIR;3.123689118
PAL LIMA;0.79156505
SUNGAI BELIUNG;0.94229261
BENUA MELAYU LAUT;2.444064492
BANSIR DARAT;0.012661925
TANJUNG HILIR;3.602120813
BANJAR SERASAN;2.444064492
DARAT SEKIP;2.505429248
DALAM BUGIS;1.32424381
TANJUNG HULU;0.127506152
SAIGON;0.254129908
BANGKA BELITUNG DARAT;0.069727254
SUNGAI JAWI LUAR;2.748538215
TENGAH;0.449771849
BANGKA BELITUNG LAUT;0.345899041
MARIANA;0.463968963
PARIT MAYOR;0.385813932
TAMBELAN SAMPIT;6.964804054
