o_node,d_node,origin,destination,length,origin_cnt,category
683300823,1934244652,A_289,B_2,795.0,1509.23569012,education
762948405,1934244652,A_307,B_2,607.0,1494.48296547,education
776490175,5632424987,A_271,B_0,1250.0,1202.6553421,education
776513552,5632424987,A_248,B_0,1305.0,1691.79252434,education
776513559,5632424987,A_249,B_0,904.0,2140.27134323,education
1833313103,11330507668,A_342,B_3,1036.0,889.95633221,education
1934233691,1934244652,A_325,B_2,591.0,939.79366302,education
1934753609,11330507668,A_329,B_3,882.0,1154.41796875,education
1934753610,11330507668,A_328,B_3,1269.0,1504.05272293,education
1934771000,11330507668,A_335,B_3,2833.0,1604.44867325,education
1934771001,11330507668,A_336,B_3,3286.0,1239.31250381,education
1935839847,11330507667,A_252,B_1,594.0,1983.5795536,education
1935861255,11330507667,A_279,B_1,3410.0,1410.83597374,education
1935861369,11330507668,A_298,B_3,2693.0,1729.80155945,education
1935869817,11330507668,A_299,B_3,3031.0,1821.23622513,education
2568977667,5632424987,A_291,B_0,1801.0,1890.00128651,education
2569022472,1934244652,A_309,B_2,463.0,1176.72171593,education
2569030739,1934244652,A_290,B_2,440.0,208.30379677,education
2593840216,5632424987,A_273,B_0,627.0,2461.33372116,education
2593845426,5632424987,A_272,B_0,781.0,1892.20948792,education
2593853218,11330507667,A_212,B_1,1657.0,1526.03598785,education
2612440655,5632424987,A_275,B_0,1860.0,1429.69944763,education
3887805309,11330507667,A_278,B_1,3128.0,1570.91852188,education
3887805435,11330507667,A_297,B_1,2612.0,1678.15233612,education
3930024333,1934244652,A_270,B_2,1543.0,1122.11662483,education
4723019416,1934244652,A_326,B_2,760.0,1189.68343163,education
4723168145,5632424987,A_274,B_0,1033.0,2258.97821045,education
4723204799,5632424987,A_229,B_0,652.0,2311.43289948,education
4723291246,11330507668,A_332,B_3,1294.0,1161.16336632,education
4723291258,11330507668,A_333,B_3,1727.0,1178.00179291,education
4816025122,11330507668,A_317,B_3,2264.0,1834.88119125,education
4816491860,11330507668,A_341,B_3,700.0,408.91734695,education
5280400728,11330507668,A_330,B_3,501.0,1004.20554256,education
5626439065,1934244652,A_323,B_2,1023.0,32.91176224,education
5635142264,11330507668,A_340,B_3,551.0,83.02479362,education
5639948227,11330507668,A_322,B_3,4613.0,40.46790886,education
5639948232,11330507668,A_320,B_3,4084.0,1363.85136414,education
5649961173,11330507667,A_233,B_1,2034.0,1386.32469177,education
5653896226,5632424987,A_294,B_0,1482.0,2381.748909,education
6355202157,5632424987,A_189,B_0,1296.0,1989.89715958,education
6379448396,11330507667,A_296,B_1,3180.0,1803.47858047,education
6419699188,11330507668,A_302,B_3,4524.0,1190.52589035,education
10904991499,11330507668,A_280,B_3,3981.0,1202.8738327,education
11124248215,11330507667,A_256,B_1,3614.0,986.99393272,education
11330507615,1934244652,"A_184,A_205,A_225",B_2,2537.0,842.31756306,education
11330507616,5632424987,A_209,B_0,1052.0,2350.57516479,education
11330507617,5632424987,A_210,B_0,843.0,1957.35123062,education
11330507618,11330507667,A_211,B_1,1229.0,1658.0099678,education
11330507619,1934244652,A_226,B_2,2191.0,1478.08180046,education
11330507620,5632424987,A_228,B_0,1038.0,2325.24543381,education
11330507621,5632424987,A_230,B_0,358.0,1875.50010681,education
11330507622,11330507667,A_231,B_1,917.0,1746.39505005,education
11330507623,11330507667,A_232,B_1,1356.0,1316.22281265,education
11330507624,11330507667,A_234,B_1,2608.0,1007.20760155,education
11330507625,1934244652,A_247,B_2,1955.0,1922.93091011,education
11330507626,5632424987,A_250,B_0,428.0,1439.87953758,education
11330507627,11330507667,A_251,B_1,160.0,1558.94218254,education
11330507628,11330507667,A_253,B_1,1279.0,1711.49200726,education
11330507629,11330507667,A_254,B_1,1852.0,1829.85559845,education
11330507630,11330507667,A_255,B_1,2455.0,1010.33774948,education
11330507631,11330507667,A_257,B_1,4048.0,1040.31194687,education
11330507632,1934244652,A_267,B_2,1674.0,1072.58284569,education
11330507633,1934244652,A_268,B_2,1404.0,1536.36138153,education
11330507634,1934244652,A_269,B_2,1301.0,1013.78449821,education
11330507635,11330507667,A_276,B_1,1778.0,1715.69475746,education
11330507636,11330507667,A_277,B_1,2273.0,1287.1529026,education
11330507637,11330507668,A_281,B_3,4254.0,1396.63955688,education
11330507638,1934244652,A_287,B_2,1621.0,1474.05879116,education
11330507639,1934244652,A_288,B_2,1075.0,1531.52594566,education
11330507640,5632424987,A_292,B_0,1356.0,2294.25948334,education
11330507641,5632424987,A_293,B_0,1176.0,2432.18058395,education
11330507642,5632424987,A_295,B_0,1740.0,2003.88581848,education
11330507643,11330507668,A_300,B_3,3594.0,1537.49044418,education
11330507644,11330507668,A_301,B_3,4198.0,1464.71004105,education
11330507645,11330507668,A_303,B_3,4548.0,1239.84428596,education
11330507646,1934244652,A_306,B_2,1083.0,199.80621338,education
11330507647,1934244652,A_308,B_2,23.0,1638.06154919,education
11330507648,1934244652,A_310,B_2,1357.0,1693.35393715,education
11330507649,5632424987,A_311,B_0,1669.0,2374.67459869,education
11330507650,11330507668,A_312,B_3,1397.0,2291.48970795,education
11330507651,11330507668,A_313,B_3,467.0,1784.06399155,education
11330507652,11330507667,A_314,B_1,3113.0,1729.53916359,education
11330507653,11330507668,A_315,B_3,2947.0,1900.96727371,education
11330507654,11330507668,A_316,B_3,2230.0,1888.91226196,education
11330507655,11330507668,A_318,B_3,3121.0,1846.9139595,education
11330507656,11330507668,A_319,B_3,3533.0,1729.61700249,education
11330507657,11330507668,A_321,B_3,4242.0,828.86365795,education
11330507658,1934244652,A_324,B_2,762.0,949.35508919,education
11330507659,1934244652,A_327,B_2,1071.0,757.88712883,education
11330507660,11330507668,A_331,B_3,852.0,1354.41082764,education
11330507661,11330507668,A_334,B_3,2336.0,1942.03381729,education
11330507662,11330507668,A_337,B_3,3764.0,542.7651577,education
11330507663,11330507668,A_343,B_3,1483.0,782.92469025,education
11330507664,11330507668,A_344,B_3,1961.0,1259.18093109,education
11330507665,11330507668,A_345,B_3,2365.0,953.19294739,education
11330507666,11330507668,A_346,B_3,2811.0,428.39468002,education
683300823,11330507670,A_289,"B_5,B_6",3971.0,1509.23569012,hospital
762948405,11330507670,A_307,"B_5,B_6",3748.0,1494.48296547,hospital
776490175,11330507670,A_271,"B_5,B_6",3919.0,1202.6553421,hospital
776513552,11330507670,A_248,"B_5,B_6",4726.0,1691.79252434,hospital
776513559,11330507670,A_249,"B_5,B_6",4482.0,2140.27134323,hospital
1833313103,11330507670,A_342,"B_5,B_6",380.0,889.95633221,hospital
1934233691,11330507670,A_325,"B_5,B_6",3045.0,939.79366302,hospital
1934753609,11330507670,A_329,"B_5,B_6",1514.0,1154.41796875,hospital
1934753610,11330507670,A_328,"B_5,B_6",1901.0,1504.05272293,hospital
1934771000,11330507669,A_335,B_4,1424.0,1604.44867325,hospital
1934771001,11330507670,A_336,"B_5,B_6",1871.0,1239.31250381,hospital
1935839847,11330507669,A_252,B_4,3818.0,1983.5795536,hospital
1935861255,11330507669,A_279,B_4,2351.0,1410.83597374,hospital
1935861369,11330507669,A_298,B_4,1627.0,1729.80155945,hospital
1935869817,11330507669,A_299,B_4,1965.0,1821.23622513,hospital
2568977667,11330507670,A_291,"B_5,B_6",3593.0,1890.00128651,hospital
2569022472,11330507670,A_309,"B_5,B_6",2908.0,1176.72171593,hospital
2569030739,11330507670,A_290,"B_5,B_6",3538.0,208.30379677,hospital
2593840216,11330507670,A_273,"B_5,B_6",3783.0,2461.33372116,hospital
2593845426,11330507670,A_272,"B_5,B_6",3715.0,1892.20948792,hospital
2593853218,11330507669,A_212,B_4,5320.0,1526.03598785,hospital
2612440655,11330507669,A_275,B_4,3166.0,1429.69944763,hospital
3887805309,11330507669,A_278,B_4,2359.0,1570.91852188,hospital
3887805435,11330507669,A_297,B_4,2007.0,1678.15233612,hospital
3930024333,11330507670,A_270,"B_5,B_6",4719.0,1122.11662483,hospital
4723019416,11330507670,A_326,"B_5,B_6",2611.0,1189.68343163,hospital
4723168145,11330507669,A_274,B_4,3611.0,2258.97821045,hospital
4723204799,11330507670,A_229,"B_5,B_6",4718.0,2311.43289948,hospital
4723291246,11330507669,A_332,B_4,240.0,1161.16336632,hospital
4723291258,11330507669,A_333,B_4,473.0,1178.00179291,hospital
4816025122,11330507669,A_317,B_4,1186.0,1834.88119125,hospital
4816491860,11330507670,A_341,"B_5,B_6",724.0,408.91734695,hospital
5280400728,11330507669,A_330,B_4,1197.0,1004.20554256,hospital
5626439065,11330507670,A_323,"B_5,B_6",3868.0,32.91176224,hospital
5635142264,11330507670,A_340,"B_5,B_6",1183.0,83.02479362,hospital
5639948227,11330507669,A_322,B_4,3204.0,40.46790886,hospital
5639948232,11330507669,A_320,B_4,2675.0,1363.85136414,hospital
5649961173,11330507669,A_233,B_4,3712.0,1386.32469177,hospital
5653896226,11330507669,A_294,B_4,3633.0,2381.748909,hospital
6355202157,11330507670,A_189,"B_5,B_6",5414.0,1989.89715958,hospital
6379448396,11330507669,A_296,B_4,2480.0,1803.47858047,hospital
6419699188,11330507669,A_302,B_4,3458.0,1190.52589035,hospital
10904991499,11330507669,A_280,B_4,2915.0,1202.8738327,hospital
11124248215,11330507669,A_256,B_4,2845.0,986.99393272,hospital
11330507615,11330507670,"A_184,A_205,A_225","B_5,B_6",5713.0,842.31756306,hospital
11330507616,11330507670,A_209,"B_5,B_6",5170.0,2350.57516479,hospital
11330507617,11330507670,A_210,"B_5,B_6",4963.0,1957.35123062,hospital
11330507618,11330507669,A_211,B_4,4892.0,1658.0099678,hospital
11330507619,11330507670,A_226,"B_5,B_6",5367.0,1478.08180046,hospital
11330507620,11330507670,A_228,"B_5,B_6",4995.0,2325.24543381,hospital
11330507621,11330507670,A_230,"B_5,B_6",4478.0,1875.50010681,hospital
11330507622,11330507669,A_231,B_4,4580.0,1746.39505005,hospital
11330507623,11330507669,A_232,B_4,3861.0,1316.22281265,hospital
11330507624,11330507669,A_234,B_4,4286.0,1007.20760155,hospital
11330507625,11330507670,A_247,"B_5,B_6",5131.0,1922.93091011,hospital
11330507626,11330507670,A_250,"B_5,B_6",4278.0,1439.87953758,hospital
11330507627,11330507669,A_251,B_4,4067.0,1558.94218254,hospital
11330507628,11330507669,A_253,B_4,3336.0,1711.49200726,hospital
11330507629,11330507669,A_254,B_4,3530.0,1829.85559845,hospital
11330507630,11330507669,A_255,B_4,4133.0,1010.33774948,hospital
11330507631,11330507669,A_257,B_4,3175.0,1040.31194687,hospital
11330507632,11330507670,A_267,"B_5,B_6",4899.0,1072.58284569,hospital
11330507633,11330507670,A_268,"B_5,B_6",4580.0,1536.36138153,hospital
11330507634,11330507670,A_269,"B_5,B_6",4477.0,1013.78449821,hospital
11330507635,11330507669,A_276,B_4,2676.0,1715.69475746,hospital
11330507636,11330507669,A_277,B_4,2317.0,1287.1529026,hospital
11330507637,11330507669,A_281,B_4,3188.0,1396.63955688,hospital
11330507638,11330507670,A_287,"B_5,B_6",4846.0,1474.05879116,hospital
11330507639,11330507670,A_288,"B_5,B_6",4227.0,1531.52594566,hospital
11330507640,11330507670,A_292,"B_5,B_6",3165.0,2294.25948334,hospital
11330507641,11330507670,A_293,"B_5,B_6",3100.0,2432.18058395,hospital
11330507642,11330507669,A_295,B_4,3144.0,2003.88581848,hospital
11330507643,11330507669,A_300,B_4,2528.0,1537.49044418,hospital
11330507644,11330507669,A_301,B_4,3132.0,1464.71004105,hospital
11330507645,11330507669,A_303,B_4,3139.0,1239.84428596,hospital
11330507646,11330507670,A_306,"B_5,B_6",4058.0,199.80621338,hospital
11330507647,11330507670,A_308,"B_5,B_6",3202.0,1638.06154919,hospital
11330507648,11330507670,A_310,"B_5,B_6",2633.0,1693.35393715,hospital
11330507649,11330507670,A_311,"B_5,B_6",2451.0,2374.67459869,hospital
11330507650,11330507670,A_312,"B_5,B_6",2029.0,2291.48970795,hospital
11330507651,11330507669,A_313,B_4,1633.0,1784.06399155,hospital
11330507652,11330507669,A_314,B_4,2165.0,1729.53916359,hospital
11330507653,11330507669,A_315,B_4,1881.0,1900.96727371,hospital
11330507654,11330507669,A_316,B_4,1164.0,1888.91226196,hospital
11330507655,11330507669,A_318,B_4,1712.0,1846.9139595,hospital
11330507656,11330507669,A_319,B_4,2124.0,1729.61700249,hospital
11330507657,11330507669,A_321,B_4,2833.0,828.86365795,hospital
11330507658,11330507670,A_324,"B_5,B_6",3445.0,949.35508919,hospital
11330507659,11330507670,A_327,"B_5,B_6",2280.0,757.88712883,hospital
11330507660,11330507669,A_331,B_4,682.0,1354.41082764,hospital
11330507661,11330507669,A_334,B_4,927.0,1942.03381729,hospital
11330507662,11330507670,A_337,"B_5,B_6",2378.0,542.7651577,hospital
11330507663,11330507670,A_343,"B_5,B_6",67.0,782.92469025,hospital
11330507664,11330507670,A_344,"B_5,B_6",546.0,1259.18093109,hospital
11330507665,11330507670,A_345,"B_5,B_6",989.0,953.19294739,hospital
11330507666,11330507670,A_346,"B_5,B_6",1435.0,428.39468002,hospital
